lat_deg,lon_deg,dose_pred_uSvph
-25.0,-140.0,1.5669788
-25.0,-130.0,1.5356734
-25.0,-120.0,1.5399712
-25.0,-110.0,1.560818
-25.0,-100.0,1.5787797
-25.0,-90.0,1.5983759
-25.0,-80.0,1.6136484
-25.0,-70.0,1.6760874
-25.0,-60.0,1.7168983
-25.0,-50.0,1.7806112
-25.0,-40.0,1.9215697
-25.0,-30.0,2.0584426
-25.0,-20.0,2.1641572
-25.0,-10.0,2.2591226
-25.0,0.0,2.2839434
-25.0,10.0,2.2701252
-25.0,20.0,2.2304509
-25.0,30.0,2.184948
-25.0,40.0,2.1410923
-25.0,50.0,2.088057
-25.0,60.0,2.095334
-25.0,70.0,2.1065483
-25.0,80.0,2.133347
-25.0,90.0,2.144662
-25.0,100.0,2.1737812
-25.0,110.0,2.181456
-25.0,120.0,2.13746
-25.0,130.0,2.1107934
-25.0,140.0,2.0763667
-25.0,150.0,2.0124865
-25.0,160.0,1.9223938
-25.0,170.0,1.8210032
-20.0,-179.99999,1.5432503
-20.0,-170.0,1.517738
-20.0,-160.0,1.4954448
-20.0,-150.0,1.4657806
-20.0,-140.0,1.4781243
-20.0,-130.0,1.4792657
-20.0,-120.0,1.4901054
-20.0,-110.0,1.5169665
-20.0,-100.0,1.5353031
-20.0,-90.0,1.5534537
-20.0,-80.0,1.5698088
-20.0,-70.0,1.6089572
-20.0,-60.0,1.640521
-20.0,-50.0,1.691485
-20.0,-40.0,1.7555197
-20.0,-30.0,1.8697088
-20.0,-20.0,1.976573
-20.0,-10.0,2.034209
-20.0,0.0,2.0492308
-20.0,10.0,1.994844
-20.0,20.0,1.9433749
-20.0,30.0,1.8709803
-20.0,40.0,1.8372773
-20.0,50.0,1.7857757
-20.0,60.0,1.7394053
-20.0,70.0,1.7169135
-20.0,80.0,1.7157243
-20.0,90.0,1.7076935
-20.0,100.0,1.7348415
-20.0,110.0,1.6982772
-20.0,120.0,1.7146027
-20.0,130.0,1.7190628
-20.0,140.0,1.7098813
-20.0,150.0,1.6922094
-20.0,160.0,1.6335514
-20.0,170.0,1.5720193
-15.0,-179.99999,1.4159343
-15.0,-170.0,1.4310269
-15.0,-160.0,1.4197056
-15.0,-150.0,1.4069498
-15.0,-140.0,1.4394623
-15.0,-130.0,1.46007
-15.0,-120.0,1.4560308
-15.0,-110.0,1.4731872
-15.0,-100.0,1.5138282
-15.0,-90.0,1.5234189
-15.0,-80.0,1.5323334
-15.0,-70.0,1.5629807
-15.0,-60.0,1.583257
-15.0,-50.0,1.609102
-15.0,-40.0,1.6611595
-15.0,-30.0,1.7039529
-15.0,-20.0,1.7916758
-15.0,-10.0,1.8405956
-15.0,0.0,1.8239981
-15.0,10.0,1.7773309
-15.0,20.0,1.703855
-15.0,30.0,1.6626583
-15.0,40.0,1.6194346
-15.0,50.0,1.5825335
-15.0,60.0,1.5384855
-15.0,70.0,1.5117509
-15.0,80.0,1.4788053
-15.0,90.0,1.4724154
-15.0,100.0,1.4549333
-15.0,110.0,1.4431845
-15.0,120.0,1.45434
-15.0,130.0,1.4824833
-15.0,140.0,1.4941031
-15.0,150.0,1.4800838
-15.0,160.0,1.4572611
-15.0,170.0,1.4503086
