n_points,n_peaks,h_star_km,pf_soft_ok,osc_metric,dose_max_uSvph,lat_deg,lon_deg,date
3,0,9.99987840004,False,0.0,3.4611,-65.0,10.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4625,-65.0,20.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4628,-65.0,30.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,40.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,50.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,60.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,70.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,80.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,90.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,100.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,110.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,120.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,130.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,140.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,150.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,160.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-65.0,170.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,-179.99999,2002/01/00
3,0,9.99987840004,False,0.0,3.4628,-60.0,-170.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4622,-60.0,-160.0,2002/01/00
3,0,9.99987840004,False,0.0,3.456,-60.0,-150.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4347,-60.0,-140.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3918,-60.0,-130.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3321,-60.0,-120.0,2002/01/00
3,0,9.99987840004,False,0.0,3.2413,-60.0,-110.0,2002/01/00
3,0,9.99987840004,False,0.0,3.1548,-60.0,-100.0,2002/01/00
3,0,9.99987840004,False,0.0,3.0378,-60.0,-90.0,2002/01/00
3,0,9.99987840004,False,0.0,3.0019,-60.0,-80.0,2002/01/00
3,0,9.99987840004,False,0.0,3.0196,-60.0,-70.0,2002/01/00
3,0,9.99987840004,False,0.0,3.0741,-60.0,-60.0,2002/01/00
3,0,9.99987840004,False,0.0,3.1337,-60.0,-50.0,2002/01/00
3,0,9.99987840004,False,0.0,3.2318,-60.0,-40.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3161,-60.0,-30.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3763,-60.0,-20.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4102,-60.0,-10.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4365,-60.0,0.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4497,-60.0,10.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4577,-60.0,20.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4608,-60.0,30.0,2002/01/00
