source_file,lat_deg,lon_deg,h_km,date,hour,vcr_GV,particle,dose_rate_uSvph,sigma,unit_text,quantity_text
L0000.ANS,-75.0,-30.0,8.000085600032,2002/01/00,0,0.76,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-20.0,8.000085600032,2002/01/00,0,0.68,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,-10.0,8.000085600032,2002/01/00,0,0.59,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,0.0,8.000085600032,2002/01/00,0,0.53,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,10.0,8.000085600032,2002/01/00,0,0.43,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,20.0,8.000085600032,2002/01/00,0,0.34,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,30.0,8.000085600032,2002/01/00,0,0.26,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,40.0,8.000085600032,2002/01/00,0,0.19,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,50.0,8.000085600032,2002/01/00,0,0.11,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,60.0,8.000085600032,2002/01/00,0,0.05,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,70.0,8.000085600032,2002/01/00,0,0.02,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,80.0,8.000085600032,2002/01/00,0,0.0,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
L0000.ANS,-75.0,90.0,8.000085600032,2002/01/00,0,0.0,TOTAL,1.8427,0.11004,microSv/hr,ICRP Pub. 103 EFFECTIVE DOSE
