lat_deg,lon_deg,h_km,dose_uSvph
-78.0,-108.0,12.0,5.537012
-78.0,-106.0,12.0,5.610878
-78.0,-104.0,12.0,5.6507306
-78.0,-102.0,12.0,5.5562015
-78.0,-100.0,12.0,5.670831
-78.0,-98.0,12.0,5.848394
-78.0,-96.0,12.0,5.8818507
-78.0,-94.0,12.0,5.709313
-78.0,-92.0,12.0,5.65935
-78.0,-90.0,12.0,5.679255
-78.0,-88.0,12.0,5.5782337
-78.0,-86.0,12.0,5.551288
-78.0,-84.0,12.0,5.5876136
-78.0,-82.0,12.0,5.7021656
-78.0,-80.0,12.0,5.6659226
-78.0,-78.0,12.0,5.6238384
-78.0,-76.0,12.0,5.6009984
-78.0,-74.0,12.0,5.5516796
-78.0,-72.0,12.0,5.6773005
-78.0,-70.0,12.0,5.7412543
-78.0,-68.0,12.0,5.772792
-78.0,-66.0,12.0,5.74551
-78.0,-64.0,12.0,5.6246057
-78.0,-62.0,12.0,5.459341
-78.0,-60.0,12.0,5.675849
-78.0,-58.0,12.0,5.469655
-78.0,-56.0,12.0,5.1623974
-78.0,-54.0,12.0,5.225525
-78.0,-52.0,12.0,5.4607058
-78.0,-50.0,12.0,5.605583
-78.0,-48.0,12.0,5.420525
-78.0,-46.0,12.0,5.3627906
-78.0,-44.0,12.0,5.4706554
-78.0,-42.0,12.0,5.5158906
-78.0,-40.0,12.0,5.681925
-78.0,-38.0,12.0,5.6334877
-78.0,-36.0,12.0,5.4780703
-78.0,-34.0,12.0,5.4403434
-78.0,-32.0,12.0,5.4359446
-78.0,-30.0,12.0,5.652014
-78.0,-28.0,12.0,5.872526
-78.0,-26.0,12.0,5.9044247
-78.0,-24.0,12.0,5.8193893
-78.0,-22.0,12.0,5.7774525
-78.0,-20.0,12.0,5.6433907
-78.0,-18.0,12.0,5.658479
-78.0,-16.0,12.0,5.6805277
-78.0,-14.0,12.0,5.627217
-78.0,-12.0,12.0,5.678527
-78.0,-10.0,12.0,5.7025905
-78.0,-8.0,12.0,5.703716
-78.0,-6.0,12.0,5.868045
-78.0,-4.0,12.0,5.968783
-78.0,-2.0,12.0,5.8740096
-78.0,0.0,12.0,5.7065287
-78.0,2.0,12.0,5.718329
-78.0,4.0,12.0,5.5359693
-78.0,6.0,12.0,5.5199
-78.0,8.0,12.0,5.6247435
-78.0,10.0,12.0,5.707869
-78.0,12.0,12.0,5.734445
-78.0,14.0,12.0,5.757625
-78.0,16.0,12.0,5.746281
-78.0,18.0,12.0,5.689247
-78.0,20.0,12.0,5.6112742
-78.0,22.0,12.0,5.880429
-78.0,24.0,12.0,6.256385
-78.0,26.0,12.0,6.1881933
-78.0,28.0,12.0,6.027136
-78.0,30.0,12.0,5.7914495
-78.0,32.0,12.0,5.6149344
-78.0,34.0,12.0,5.4199624
-78.0,36.0,12.0,5.3709707
-78.0,38.0,12.0,5.4429517
-78.0,40.0,12.0,5.687532
-78.0,42.0,12.0,5.820651
-78.0,44.0,12.0,5.902066
-78.0,46.0,12.0,5.7945523
-78.0,48.0,12.0,5.775844
-78.0,50.0,12.0,5.7245126
-78.0,52.0,12.0,5.6917925
-78.0,54.0,12.0,5.6721983
-78.0,56.0,12.0,5.716172
-78.0,58.0,12.0,5.7263446
-78.0,60.0,12.0,5.758209
-78.0,62.0,12.0,6.054847
-78.0,64.0,12.0,6.229539
-78.0,66.0,12.0,6.2505107
-78.0,68.0,12.0,6.1509023
-78.0,70.0,12.0,5.9052515
-78.0,72.0,12.0,5.878542
-78.0,74.0,12.0,5.966047
-78.0,76.0,12.0,5.9280577
-78.0,78.0,12.0,5.849675
-78.0,80.0,12.0,5.87474
-78.0,82.0,12.0,5.921985
-78.0,84.0,12.0,5.9541955
-78.0,86.0,12.0,5.922746
-78.0,88.0,12.0,5.777129
-78.0,90.0,12.0,5.836548
-78.0,92.0,12.0,5.943847
-78.0,94.0,12.0,6.102742
-78.0,96.0,12.0,6.140521
-78.0,98.0,12.0,6.0127797
-78.0,100.0,12.0,5.8708677
-78.0,102.0,12.0,5.952623
-78.0,104.0,12.0,6.073498
-78.0,106.0,12.0,6.0045986
-78.0,108.0,12.0,5.902692
-78.0,110.0,12.0,5.901097
-78.0,112.0,12.0,5.801388
-78.0,114.0,12.0,5.8463974
-78.0,116.0,12.0,5.868788
-78.0,118.0,12.0,5.914676
-78.0,120.0,12.0,5.7408037
-78.0,122.0,12.0,5.656331
-78.0,124.0,12.0,5.674071
-78.0,126.0,12.0,5.788328
-78.0,128.0,12.0,5.723135
-78.0,130.0,12.0,5.712084
-78.0,132.0,12.0,5.911502
-78.0,134.0,12.0,6.0539846
-78.0,136.0,12.0,6.002852
-78.0,138.0,12.0,5.7680254
-78.0,140.0,12.0,5.6948924
-78.0,142.0,12.0,5.716476
-78.0,144.0,12.0,5.765792
-78.0,146.0,12.0,5.6465373
-78.0,148.0,12.0,5.6013694
-78.0,150.0,12.0,5.636408
-78.0,152.0,12.0,5.6229815
-78.0,154.0,12.0,5.540929
-78.0,156.0,12.0,5.7358785
-78.0,158.0,12.0,5.810206
-78.0,160.0,12.0,5.6829658
-78.0,162.0,12.0,5.6373568
-78.0,164.0,12.0,5.716503
-78.0,166.0,12.0,5.7916107
-78.0,168.0,12.0,5.717657
-78.0,170.0,12.0,5.7140627
-78.0,172.0,12.0,5.852802
-78.0,174.0,12.0,5.793255
-78.0,176.0,12.0,5.667407
-78.0,178.0,12.0,5.7291827
-78.0,180.0,12.0,5.623026
-76.0,-180.0,12.0,5.2525845
-76.0,-178.0,12.0,5.1658735
-76.0,-176.0,12.0,5.1850305
-76.0,-174.0,12.0,5.346326
-76.0,-172.0,12.0,5.388945
-76.0,-170.0,12.0,5.3290353
-76.0,-168.0,12.0,5.2826147
-76.0,-166.0,12.0,5.3507752
-76.0,-164.0,12.0,5.352594
-76.0,-162.0,12.0,5.2332416
-76.0,-160.0,12.0,5.3419776
-76.0,-158.0,12.0,5.4380307
-76.0,-156.0,12.0,5.351288
-76.0,-154.0,12.0,5.266395
-76.0,-152.0,12.0,5.2193375
-76.0,-150.0,12.0,5.213551
-76.0,-148.0,12.0,5.2819405
-76.0,-146.0,12.0,5.11016
-76.0,-144.0,12.0,5.014746
-76.0,-142.0,12.0,5.1630154
-76.0,-140.0,12.0,5.204001
-76.0,-138.0,12.0,5.374917
-76.0,-136.0,12.0,5.3419986
-76.0,-134.0,12.0,5.280475
-76.0,-132.0,12.0,5.2797303
-76.0,-130.0,12.0,5.3547053
-76.0,-128.0,12.0,5.4216943
-76.0,-126.0,12.0,5.295828
-76.0,-124.0,12.0,5.1876125
-76.0,-122.0,12.0,5.1270666
-76.0,-120.0,12.0,5.2683372
-76.0,-118.0,12.0,5.360381
-76.0,-116.0,12.0,5.3058553
-76.0,-114.0,12.0,5.305514
-76.0,-112.0,12.0,5.2258987
-76.0,-110.0,12.0,5.2631564
-76.0,-108.0,12.0,5.303952
-76.0,-106.0,12.0,5.316479
-76.0,-104.0,12.0,5.3427873
-76.0,-102.0,12.0,5.2053423
-76.0,-100.0,12.0,5.3150687
-76.0,-98.0,12.0,5.5040874
-76.0,-96.0,12.0,5.56693
-76.0,-94.0,12.0,5.410771
-76.0,-92.0,12.0,5.2573466
-76.0,-90.0,12.0,5.2932806
-76.0,-88.0,12.0,5.1809883
-76.0,-86.0,12.0,5.129729
-76.0,-84.0,12.0,5.26807
-76.0,-82.0,12.0,5.3598084
-76.0,-80.0,12.0,5.298834
-76.0,-78.0,12.0,5.2732205
-76.0,-76.0,12.0,5.311341
-76.0,-74.0,12.0,5.2598
-76.0,-72.0,12.0,5.4177322
-76.0,-70.0,12.0,5.3491497
-76.0,-68.0,12.0,5.4311585
-76.0,-66.0,12.0,5.4131074
-76.0,-64.0,12.0,5.3699594
-76.0,-62.0,12.0,5.181742
-76.0,-60.0,12.0,5.333238
-76.0,-58.0,12.0,5.147888
-76.0,-56.0,12.0,4.835302
-76.0,-54.0,12.0,4.9078827
-76.0,-52.0,12.0,5.13087
-76.0,-50.0,12.0,5.258324
-76.0,-48.0,12.0,5.126637
-76.0,-46.0,12.0,5.104013
-76.0,-44.0,12.0,5.2097826
-76.0,-42.0,12.0,5.190282
-76.0,-40.0,12.0,5.296722
-76.0,-38.0,12.0,5.275891
-76.0,-36.0,12.0,5.170007
-76.0,-34.0,12.0,5.1237235
-76.0,-32.0,12.0,5.1192856
-76.0,-30.0,12.0,5.3111644
-76.0,-28.0,12.0,5.5933065
-76.0,-26.0,12.0,5.6448026
-76.0,-24.0,12.0,5.5244637
-76.0,-22.0,12.0,5.435074
-76.0,-20.0,12.0,5.3663425
-76.0,-18.0,12.0,5.3897343
-76.0,-16.0,12.0,5.3771157
-76.0,-14.0,12.0,5.3179646
-76.0,-12.0,12.0,5.4293346
-76.0,-10.0,12.0,5.449127
-76.0,-8.0,12.0,5.4314156
-76.0,-6.0,12.0,5.537995
-76.0,-4.0,12.0,5.6627464
-76.0,-2.0,12.0,5.556758
-76.0,0.0,12.0,5.446558
-76.0,2.0,12.0,5.4507723
-76.0,4.0,12.0,5.296908
-76.0,6.0,12.0,5.218182
-76.0,8.0,12.0,5.2989187
-76.0,10.0,12.0,5.418896
-76.0,12.0,12.0,5.382276
-76.0,14.0,12.0,5.41375
-76.0,16.0,12.0,5.422972
-76.0,18.0,12.0,5.370415
-76.0,20.0,12.0,5.3635693
-76.0,22.0,12.0,5.6327405
-76.0,24.0,12.0,5.9606185
-76.0,26.0,12.0,5.8695917
-76.0,28.0,12.0,5.6229453
-76.0,30.0,12.0,5.465492
-76.0,32.0,12.0,5.2431774
-76.0,34.0,12.0,5.0428963
-76.0,36.0,12.0,5.0716085
-76.0,38.0,12.0,5.130042
-76.0,40.0,12.0,5.387515
-76.0,42.0,12.0,5.4260445
-76.0,44.0,12.0,5.482415
-76.0,46.0,12.0,5.4249544
-76.0,48.0,12.0,5.429082
-76.0,50.0,12.0,5.4111967
-76.0,52.0,12.0,5.296036
-76.0,54.0,12.0,5.2447486
-76.0,56.0,12.0,5.2494473
-76.0,58.0,12.0,5.318234
-76.0,60.0,12.0,5.3954964
-76.0,62.0,12.0,5.4931602
-76.0,64.0,12.0,5.6442575
-76.0,66.0,12.0,5.744331
-76.0,68.0,12.0,5.666551
-76.0,70.0,12.0,5.4374313
-76.0,72.0,12.0,5.4624305
-76.0,74.0,12.0,5.6278625
-76.0,76.0,12.0,5.4940357
-76.0,78.0,12.0,5.3709683
-76.0,80.0,12.0,5.3877516
-76.0,82.0,12.0,5.4978304
-76.0,84.0,12.0,5.46992
-76.0,86.0,12.0,5.471933
-76.0,88.0,12.0,5.3753138
-76.0,90.0,12.0,5.383229
-76.0,92.0,12.0,5.447847
-76.0,94.0,12.0,5.5194535
-76.0,96.0,12.0,5.669709
-76.0,98.0,12.0,5.5432405
-76.0,100.0,12.0,5.399455
-76.0,102.0,12.0,5.540891
-76.0,104.0,12.0,5.5951257
-76.0,106.0,12.0,5.4969673
-76.0,108.0,12.0,5.424258
-76.0,110.0,12.0,5.400055
-76.0,112.0,12.0,5.3235025
-76.0,114.0,12.0,5.3430176
-76.0,116.0,12.0,5.4858184
-76.0,118.0,12.0,5.5390487
-76.0,120.0,12.0,5.2940826
-76.0,122.0,12.0,5.2442145
-76.0,124.0,12.0,5.3219066
-76.0,126.0,12.0,5.4309683
-76.0,128.0,12.0,5.418446
-76.0,130.0,12.0,5.3748903
-76.0,132.0,12.0,5.4545603
-76.0,134.0,12.0,5.681351
-76.0,136.0,12.0,5.699503
-76.0,138.0,12.0,5.398321
-76.0,140.0,12.0,5.323104
-76.0,142.0,12.0,5.2987895
-76.0,144.0,12.0,5.2786527
-76.0,146.0,12.0,5.2637124
-76.0,148.0,12.0,5.3230352
-76.0,150.0,12.0,5.3501062
-76.0,152.0,12.0,5.2870145
-76.0,154.0,12.0,5.283169
-76.0,156.0,12.0,5.469029
-76.0,158.0,12.0,5.501782
-76.0,160.0,12.0,5.3399234
-76.0,162.0,12.0,5.294858
-76.0,164.0,12.0,5.359692
-76.0,166.0,12.0,5.456803
-76.0,168.0,12.0,5.342286
-76.0,170.0,12.0,5.347896
-76.0,172.0,12.0,5.43482
